Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
"007462 Hon Hai Precision Industry Co., Ltd.",Total by Primary Sponsor,,207,"168,144","237,379","75,620","276,542","322,074","1,079,759"
007478 Robert Bosch LLC,Contracts,On Campus,94,"86,260","72,526","24,175","407,598","153,575","744,134"
007478 Robert Bosch LLC,Total by Primary Sponsor,,94,"86,260","72,526","24,175","407,598","153,575","744,134"
007510 UPS Foundation,Contracts,On Campus,10,0,0,0,0,0,0
007510 UPS Foundation,Total by Primary Sponsor,,10,0,0,0,0,0,0
"007512 U.S.-Israel Binational Science
Foundation",Grants,On Campus,22,469,"26,982","6,908","1,303","1,859","37,521"
"007512 U.S.-Israel Binational Science
Foundation",Total by Primary Sponsor,,22,469,"26,982","6,908","1,303","1,859","37,521"
007529 University of California - Irvine,Grants,On Campus,4,"11,700",,,"13,161","10,139","35,000"
007529 University of California - Irvine,Total by Primary Sponsor,,4,"11,700",,,"13,161","10,139","35,000"
007548 University of Waterloo,Contracts,On Campus,7,,"28,593","10,436",216,"20,639","59,884"
007548 University of Waterloo,Total by Primary Sponsor,,7,,"28,593","10,436",216,"20,639","59,884"
007574 Enphase Energy,Contracts,On Campus,9,0,"1,184",377,"8,417","5,142","15,121"
007574 Enphase Energy,Total by Primary Sponsor,,9,0,"1,184",377,"8,417","5,142","15,121"
007580 Fundacion LOGyCA,Contracts,On Campus,66,0,0,0,0,0,0
007580 Fundacion LOGyCA,Grants,On Campus,9,"12,224","41,250","15,056","45,315","54,286","168,130"
007580 Fundacion LOGyCA,Total by Primary Sponsor,,75,"12,224","41,250","15,056","45,315","54,286","168,130"
007616 University of Southern California,Contracts,On Campus,5,,"16,534","6,035","2,087","13,807","38,463"
007616 University of Southern California,Total by Primary Sponsor,,5,,"16,534","6,035","2,087","13,807","38,463"
007630 University of Pennsylvania,Grants,On Campus,4,"15,984",,,"16,024","9,918","41,926"
007630 University of Pennsylvania,Total by Primary Sponsor,,4,"15,984",,,"16,024","9,918","41,926"
007637 University of Texas - Austin,Contracts,On Campus,9,"50,921",0,0,"76,598","44,129","171,648"
007637 University of Texas - Austin,Total by Primary Sponsor,,9,"50,921",0,0,"76,598","44,129","171,648"
007652 Va Hospital - Boston,Contracts,On Campus,25,"26,747","1,753",640,"25,089","16,930","71,159"
007652 Va Hospital - Boston,Total by Primary Sponsor,,25,"26,747","1,753",640,"25,089","16,930","71,159"
007673 UNAVCO,Contracts,On Campus,5,,"1,197",437,615,"1,259","3,508"
007673 UNAVCO,Total by Primary Sponsor,,5,,"1,197",437,615,"1,259","3,508"
007679 The University of Singapore,Contracts,On Campus,594,"258,285","539,649","176,888","784,459","786,274","2,545,555"
007679 The University of Singapore,Grants,On Campus,4,,,,0,,0
007679 The University of Singapore,Total by Primary Sponsor,,598,"258,285","539,649","176,888","784,459","786,274","2,545,555"
007718 Universita di Leece,Contracts,On Campus,10,,0,0,0,0,0
007718 Universita di Leece,Total by Primary Sponsor,,10,,0,0,0,0,0
007750 b_TEC Foundation,Contracts,On Campus,13,"5,398","46,086","12,914","13,947","38,342","116,686"
007750 b_TEC Foundation,Total by Primary Sponsor,,13,"5,398","46,086","12,914","13,947","38,342","116,686"
007752 Klingenstein Fund,Grants,On Campus,6,,"7,378","2,093","42,980",0,"52,451"
007752 Klingenstein Fund,Total by Primary Sponsor,,6,,"7,378","2,093","42,980",0,"52,451"
"007792 Whitehall Foundation, Incorporated",Grants,On Campus,7,,"29,956","10,934","10,413",0,"51,303"
"007792 Whitehall Foundation, Incorporated",Total by Primary Sponsor,,7,,"29,956","10,934","10,413",0,"51,303"
007873 Telefonica I & D,Contracts,On Campus,1,,,,,,0
007873 Telefonica I & D,Total by Primary Sponsor,,1,,,,,,0
009904 MIT - Internal,Grants,On Campus,400,"172,733","511,356","183,412","390,225","435,569","1,693,295"
009904 MIT - Internal,Total by Primary Sponsor,,400,"172,733","511,356","183,412","390,225","435,569","1,693,295"
009906 MIT - Internal Cost Sharing,Grants,Off Campus,4,,"3,394","1,154","96,458",698,"101,704"
009906 MIT - Internal Cost Sharing,Grants,On Campus,"1,170","238,998","3,267,854","963,994","894,397","2,764,044","8,129,287"
009906 MIT - Internal Cost Sharing,Total by Primary Sponsor,,"1,174","238,998","3,271,248","965,148","990,854","2,764,743","8,230,991"
009990 Accounts Cancelled,Contracts,On Campus,19,0,0,0,0,0,0
009990 Accounts Cancelled,Grants,On Campus,7,,,0,,0,0
009990 Accounts Cancelled,Total by Primary Sponsor,,26,0,0,0,0,0,0
010004 Total SA,Contracts,On Campus,113,"163,358","635,341","223,300","889,623","624,080","2,535,702"
010004 Total SA,Total by Primary Sponsor,,113,"163,358","635,341","223,300","889,623","624,080","2,535,702"
"010016 Alexander von Humboldt-Stiftung
Foundation",Grants,On Campus,1,,,,"108,913",,"108,913"
"010016 Alexander von Humboldt-Stiftung
Foundation",Total by Primary Sponsor,,1,,,,"108,913",,"108,913"
010017 BP Products North America Inc.,Contracts,On Campus,8,"7,630","1,010",369,"2,885","5,168","17,062"
010017 BP Products North America Inc.,Grants,On Campus,4,"14,916",,,"19,383","10,929","45,228"
010017 BP Products North America Inc.,Total by Primary Sponsor,,12,"22,546","1,010",369,"22,268","16,097","62,290"
010031 Seoul National University,Contracts,On Campus,9,"2,450","41,142","14,559","24,177","36,545","118,874"
010031 Seoul National University,Total by Primary Sponsor,,9,"2,450","41,142","14,559","24,177","36,545","118,874"
010052 Singapore-MIT Alliance for Research and Technology Centre,Contracts,On Campus,18,,,,"31,981","17,083","49,064"
010052 Singapore-MIT Alliance for Research and Technology Centre,Total by Primary Sponsor,,18,,,,"31,981","17,083","49,064"
"010063 Masdar Institute of Science and
Technology",Contracts,On Campus,21,0,"13,818","5,044","5,082","12,641","36,585"
"010063 Masdar Institute of Science and
Technology",Grants,On Campus,414,"1,057,733","1,280,020","410,093","1,287,475","1,825,165","5,860,485"
"010063 Masdar Institute of Science and
Technology",Total by Primary Sponsor,,435,"1,057,733","1,293,838","415,137","1,292,557","1,837,806","5,897,071"
010095 GS1,Contracts,On Campus,10,"59,852","167,077","52,405","341,479","182,476","803,288"
010095 GS1,Total by Primary Sponsor,,10,"59,852","167,077","52,405","341,479","182,476","803,288"
"010100 Siemens Corporation, Corporate
Technology",Contracts,On Campus,229,"272,329","370,205","115,519","758,322","496,563","2,012,939"
"010100 Siemens Corporation, Corporate
Technology",Total by Primary Sponsor,,229,"272,329","370,205","115,519","758,322","496,563","2,012,939"
010109 SAP Labs LLC,Contracts,On Campus,7,0,"-19,200","-1,632",0,"-11,666","-32,498"
010109 SAP Labs LLC,Total by Primary Sponsor,,7,0,"-19,200","-1,632",0,"-11,666","-32,498"
010146 Deutsche Bank AG,Contracts,On Campus,10,,"6,728","2,456",0,"5,143","14,327"
010146 Deutsche Bank AG,Total by Primary Sponsor,,10,,"6,728","2,456",0,"5,143","14,327"
010149 Tsinghua University,Contracts,On Campus,60,"60,571","70,035","21,415","74,998","94,830","321,849"
010149 Tsinghua University,Total by Primary Sponsor,,60,"60,571","70,035","21,415","74,998","94,830","321,849"
"010156 Monotype Imaging, Incorporated",Contracts,On Campus,8,,"14,482","5,286","5,145","13,148","38,062"
"010156 Monotype Imaging, Incorporated",Total by Primary Sponsor,,8,,"14,482","5,286","5,145","13,148","38,062"
010165 Korea University,Contracts,On Campus,8,,"21,304","7,692","11,581","20,524","61,100"
010165 Korea University,Total by Primary Sponsor,,8,,"21,304","7,692","11,581","20,524","61,100"
010182 Carnegie Institution of Washington,Grants,On Campus,6,,"15,723","5,739","32,287","3,219","56,968"
010182 Carnegie Institution of Washington,Total by Primary Sponsor,,6,,"15,723","5,739","32,287","3,219","56,968"
"010188 Int'l Initiative for Impact Evaluation-3
Foundation",Grants,On Campus,14,,0,0,"127,581",0,"127,581"
"010188 Int'l Initiative for Impact Evaluation-3
Foundation",Total by Primary Sponsor,,14,,0,0,"127,581",0,"127,581"
"010193 Phillip T. and Susan M. Ragon
Foundation",Grants,On Campus,35,"105,211","91,610","31,876","414,525","94,130","737,352"
"010193 Phillip T. and Susan M. Ragon
Foundation",Total by Primary Sponsor,,35,"105,211","91,610","31,876","414,525","94,130","737,352"
"010206 Terra Power, LLC",Contracts,On Campus,21,"29,700","56,046","19,749","37,821","68,158","211,474"
"010206 Terra Power, LLC",Total by Primary Sponsor,,21,"29,700","56,046","19,749","37,821","68,158","211,474"
"010219 SuNam Co., Ltd.",Contracts,On Campus,7,,-543,-193,-2,-378,"-1,116"
"010219 SuNam Co., Ltd.",Total by Primary Sponsor,,7,,-543,-193,-2,-378,"-1,116"
010230 Shire Pharmaceuticals,Contracts,On Campus,16,"29,645","36,209","13,012","185,701","135,396","399,963"
010230 Shire Pharmaceuticals,Total by Primary Sponsor,,16,"29,645","36,209","13,012","185,701","135,396","399,963"
"010247 EDF, Inc.",Contracts,On Campus,2,,,,0,,0
"010247 EDF, Inc.",Total by Primary Sponsor,,2,,,,0,,0
010250 HULIC Co. Ltd,Contracts,On Campus,7,0,"10,333","3,772","-7,518","9,310","15,897"
010250 HULIC Co. Ltd,Total by Primary Sponsor,,7,0,"10,333","3,772","-7,518","9,310","15,897"
010290 Ion Beam Applications,Contracts,On Campus,10,,"79,245","23,918","2,673","53,807","159,643"
010290 Ion Beam Applications,Total by Primary Sponsor,,10,,"79,245","23,918","2,673","53,807","159,643"
010293 Shandong University,Contracts,Off Campus,5,,"5,151","1,880","74,175","3,311","84,517"
010293 Shandong University,Contracts,On Campus,2,,,,0,,0
010293 Shandong University,Total by Primary Sponsor,,7,,"5,151","1,880","74,175","3,311","84,517"
"010301 Japan Manned Space Systems
Corporation",Contracts,On Campus,10,,"2,399",672,"17,436","11,490","31,997"
"010301 Japan Manned Space Systems
Corporation",Total by Primary Sponsor,,10,,"2,399",672,"17,436","11,490","31,997"
"010308 BP America Production Co., Inc.",Contracts,On Campus,6,"32,075","32,235","9,026","63,583","64,576","201,494"
"010308 BP America Production Co., Inc.",Total by Primary Sponsor,,6,"32,075","32,235","9,026","63,583","64,576","201,494"
010315 Lustgarten Foundation,Grants,On Campus,22,"27,920","63,715","22,649","526,902","116,405","757,590"
010315 Lustgarten Foundation,Total by Primary Sponsor,,22,"27,920","63,715","22,649","526,902","116,405","757,590"
010332 General Motors Company,Contracts,On Campus,23,"24,609","49,673","4,134","31,999","54,118","164,533"
010332 General Motors Company,Total by Primary Sponsor,,23,"24,609","49,673","4,134","31,999","54,118","164,533"
"010341 RMC Research and Education
Foundation",Contracts,On Campus,40,"107,600","290,318","101,277","202,301","343,759","1,045,254"
"010341 RMC Research and Education
Foundation",Total by Primary Sponsor,,40,"107,600","290,318","101,277","202,301","343,759","1,045,254"
010356 Montana State University,Grants,On Campus,6,,"18,016","6,001","15,479","16,386","55,882"
010356 Montana State University,Total by Primary Sponsor,,6,,"18,016","6,001","15,479","16,386","55,882"
010379 ENEL Ingegneria e Innovazione S.p.,Contracts,On Campus,84,0,477,173,"1,686","1,215","3,552"
010379 ENEL Ingegneria e Innovazione S.p.,Total by Primary Sponsor,,84,0,477,173,"1,686","1,215","3,552"
010392 F. Hoffmann-La Roche AG,Contracts,On Campus,7,,"87,473","31,927","6,636","68,425","194,461"
010392 F. Hoffmann-La Roche AG,Total by Primary Sponsor,,7,,"87,473","31,927","6,636","68,425","194,461"
010394 Infineum USA L.P.,Contracts,On Campus,9,0,-674,-246,0,-515,"-1,435"
010394 Infineum USA L.P.,Total by Primary Sponsor,,9,0,-674,-246,0,-515,"-1,435"
010397 Fishing Partnership Health Plan,Grants,On Campus,5,,"1,169",397,315,247,"2,128"
010397 Fishing Partnership Health Plan,Total by Primary Sponsor,,5,,"1,169",397,315,247,"2,128"
010449 Singapore University of Technology and Design,Contracts,On Campus,487,"517,997","275,087","78,042","646,843","651,319","2,169,289"
010449 Singapore University of Technology and Design,Total by Primary Sponsor,,487,"517,997","275,087","78,042","646,843","651,319","2,169,289"
010466 Weatherford International Ltd.,Contracts,On Campus,59,"37,443","209,136","76,236","247,108","200,359","770,282"
010466 Weatherford International Ltd.,Total by Primary Sponsor,,59,"37,443","209,136","76,236","247,108","200,359","770,282"
010494 MediaTek Singapore Pte Ltd.,Contracts,On Campus,8,"7,326","10,647","3,132","8,395","15,857","45,357"
010494 MediaTek Singapore Pte Ltd.,Total by Primary Sponsor,,8,"7,326","10,647","3,132","8,395","15,857","45,357"
"010506 ILAB, Orange Labs Internationaux",Contracts,On Campus,5,,"3,430","1,252",0,"2,622","7,304"
"010506 ILAB, Orange Labs Internationaux",Total by Primary Sponsor,,5,,"3,430","1,252",0,"2,622","7,304"
010514 Merrimack Pharmaceuticals,Contracts,On Campus,7,-152,0,0,"2,596","1,331","3,776"
010514 Merrimack Pharmaceuticals,Total by Primary Sponsor,,7,-152,0,0,"2,596","1,331","3,776"
010529 Sanofi US Service Inc,Contracts,On Campus,163,"188,508","515,595","180,206","928,049","751,153","2,563,511"
010529 Sanofi US Service Inc,Total by Primary Sponsor,,163,"188,508","515,595","180,206","928,049","751,153","2,563,511"
010532 AMD Corporation,Contracts,On Campus,8,,"3,292","1,202",-332,"2,443","6,605"
010532 AMD Corporation,Total by Primary Sponsor,,8,,"3,292","1,202",-332,"2,443","6,605"
010533 Qatar National Research Fund,Contracts,On Campus,9,"3,943",0,0,0,"2,681","6,624"
010533 Qatar National Research Fund,Total by Primary Sponsor,,9,"3,943",0,0,0,"2,681","6,624"
"010550 The Joint Institute for Strategic Energ
Analysis",Contracts,On Campus,1,,,,,,0
"010550 The Joint Institute for Strategic Energ
Analysis",Total by Primary Sponsor,,1,,,,,,0
010553 STR Projectos e Participacoes,Contracts,On Campus,11,0,0,0,0,0,0
010553 STR Projectos e Participacoes,Total by Primary Sponsor,,11,0,0,0,0,0,0
"010559 ISO New England, Inc.",Contracts,On Campus,4,"17,912",,,0,"10,031","27,943"
"010559 ISO New England, Inc.",Total by Primary Sponsor,,4,"17,912",,,0,"10,031","27,943"
"010565 Ortho-McNeil-Janssen
Pharmaceuticals, Inc",Contracts,On Campus,232,"174,867","911,682","321,266","2,395,220","1,551,605","5,354,641"
"010565 Ortho-McNeil-Janssen
Pharmaceuticals, Inc",Total by Primary Sponsor,,232,"174,867","911,682","321,266","2,395,220","1,551,605","5,354,641"
"010572 BP Exploration Operating Company
Limited",Contracts,On Campus,44,"204,658","131,318","45,915","347,023","278,543","1,007,457"
"010572 BP Exploration Operating Company
Limited",Total by Primary Sponsor,,44,"204,658","131,318","45,915","347,023","278,543","1,007,457"
010577 The Pew Charitable Trusts,Grants,On Campus,21,"7,500","26,322","7,370","13,071","4,810","59,074"
010577 The Pew Charitable Trusts,Total by Primary Sponsor,,21,"7,500","26,322","7,370","13,071","4,810","59,074"
"010586 Fujitsu Laboratories of America, Inc",Contracts,On Campus,11,"9,740","12,367","4,514","19,424","19,061","65,106"
"010586 Fujitsu Laboratories of America, Inc",Total by Primary Sponsor,,11,"9,740","12,367","4,514","19,424","19,061","65,106"
"010593 Smith Family Awards Program for
Excellence in Biomedical Resear",Grants,On Campus,12,,"-2,180","-1,034","41,714","1,923","40,423"
"010593 Smith Family Awards Program for
Excellence in Biomedical Resear",Total by Primary Sponsor,,12,,"-2,180","-1,034","41,714","1,923","40,423"
"010600 NP Org Fund for Dev of Center for
Elab & Comm of New Tech",Contracts,On Campus,378,"977,638","1,205,830","371,866","2,395,667","1,798,072","6,749,073"
"010600 NP Org Fund for Dev of Center for
Elab & Comm of New Tech",Total by Primary Sponsor,,378,"977,638","1,205,830","371,866","2,395,667","1,798,072","6,749,073"
"010608 NBC Universal, Inc.",Contracts,On Campus,12,0,543,198,-297,392,835
"010608 NBC Universal, Inc.",Total by Primary Sponsor,,12,0,543,198,-297,392,835
"010615 Pontificia Universidad Catolica de
Chile",Contracts,On Campus,14,"4,788","11,981","3,254","5,130","12,755","37,908"
"010615 Pontificia Universidad Catolica de
Chile",Total by Primary Sponsor,,14,"4,788","11,981","3,254","5,130","12,755","37,908"
"010621 Fundacion para el Conocimiento
Madrid",Grants,On Campus,210,"36,771","103,543","17,580","1,440,569","336,321","1,934,784"
"010621 Fundacion para el Conocimiento
Madrid",Total by Primary Sponsor,,210,"36,771","103,543","17,580","1,440,569","336,321","1,934,784"
010625 BP International Limited,Contracts,On Campus,74,0,"271,382","93,698","123,142","194,194","682,416"
010625 BP International Limited,Grants,On Campus,14,"15,828","2,422",678,"55,997","35,908","110,833"
010625 BP International Limited,Total by Primary Sponsor,,88,"15,828","273,804","94,376","179,139","230,102","793,249"
"010631 MedImmune, LLC",Contracts,On Campus,9,"34,315","4,694","1,314","23,338","23,552","87,214"
"010631 MedImmune, LLC",Total by Primary Sponsor,,9,"34,315","4,694","1,314","23,338","23,552","87,214"
010641 Capgemini Consulting North America,Contracts,On Campus,6,,"49,868","18,202","5,159","42,218","115,447"
010641 Capgemini Consulting North America,Total by Primary Sponsor,,6,,"49,868","18,202","5,159","42,218","115,447"
010646 Atrium Medical Corporation,Contracts,On Campus,15,"5,328","32,462","11,849","34,306","46,897","130,842"
010646 Atrium Medical Corporation,Total by Primary Sponsor,,15,"5,328","32,462","11,849","34,306","46,897","130,842"
"010647 Ferrovial Corporacion, S.A",Contracts,On Campus,73,"154,549","147,090","48,401","239,262","246,119","835,420"
"010647 Ferrovial Corporacion, S.A",Total by Primary Sponsor,,73,"154,549","147,090","48,401","239,262","246,119","835,420"
010648 International Post Corporation (IPC),Contracts,On Campus,12,,"36,067","13,164","-41,110","27,597","35,718"
010648 International Post Corporation (IPC),Total by Primary Sponsor,,12,,"36,067","13,164","-41,110","27,597","35,718"
010657 Thomson Reuters,Contracts,On Campus,28,"5,688","25,058","4,923","126,902","33,251","195,823"
010657 Thomson Reuters,Total by Primary Sponsor,,28,"5,688","25,058","4,923","126,902","33,251","195,823"
010659 CHDI Management,Grants,On Campus,26,,"665,728","241,032","397,035","104,761","1,408,556"
010659 CHDI Management,Total by Primary Sponsor,,26,,"665,728","241,032","397,035","104,761","1,408,556"
010671 Universiti Teknologi MARA,Contracts,On Campus,32,"2,771","30,252","3,371","99,644","70,794","206,832"
010671 Universiti Teknologi MARA,Total by Primary Sponsor,,32,"2,771","30,252","3,371","99,644","70,794","206,832"
"010673 Cognizant Technology Solutions
Corporation",Contracts,On Campus,7,0,0,0,"-9,300",8,"-9,291"
"010673 Cognizant Technology Solutions
Corporation",Total by Primary Sponsor,,7,0,0,0,"-9,300",8,"-9,291"
"010681 National Academies Keck Futures
Initiative",Contracts,On Campus,1,,,,,,0
"010681 National Academies Keck Futures
Initiative",Total by Primary Sponsor,,1,,,,,,0
"010693 Department for International
Development (UK)",Contracts,On Campus,12,,"3,750","1,369","-8,539",-112,"-3,533"
"010693 Department for International
Development (UK)",Grants,On Campus,23,,"57,270","18,252","474,346","55,000","604,869"
"010693 Department for International
Development (UK)",Total by Primary Sponsor,,35,,"61,020","19,620","465,807","54,888","601,336"
010697 Sweetwater Energy Inc,Contracts,On Campus,9,,"266,334","97,212","82,488","220,357","666,391"
010697 Sweetwater Energy Inc,Total by Primary Sponsor,,9,,"266,334","97,212","82,488","220,357","666,391"
010700 Biogen Idec,Contracts,On Campus,10,"2,965","11,870","3,973","50,155","35,896","104,859"
010700 Biogen Idec,Total by Primary Sponsor,,10,"2,965","11,870","3,973","50,155","35,896","104,859"
010759 Toyota Motor Europe,Contracts,On Campus,9,"28,846","10,770","3,931","70,877","51,129","165,553"
010759 Toyota Motor Europe,Total by Primary Sponsor,,9,"28,846","10,770","3,931","70,877","51,129","165,553"
"010760 William N. & Bernice E. Bumpus
Foundation",Grants,Off Campus,3,,,,"229,455",0,"229,455"
"010760 William N. & Bernice E. Bumpus
Foundation",Grants,On Campus,2,,,,"62,000",,"62,000"
"010760 William N. & Bernice E. Bumpus
Foundation",Total by Primary Sponsor,,5,,,,"291,455",0,"291,455"
"010767 HDR Engineering Inc./Gilbane
Building Company",Contracts,On Campus,12,"111,158","247,892","82,743","90,060","187,173","719,026"
"010767 HDR Engineering Inc./Gilbane
Building Company",Total by Primary Sponsor,,12,"111,158","247,892","82,743","90,060","187,173","719,026"
010768 Life Technologies Corporation,Contracts,On Campus,8,"13,988","80,145","28,934","161,106","106,199","390,371"
010768 Life Technologies Corporation,Total by Primary Sponsor,,8,"13,988","80,145","28,934","161,106","106,199","390,371"
010779 Henkel AG & Co. KGaA,Contracts,On Campus,1,,,,,,0
010779 Henkel AG & Co. KGaA,Total by Primary Sponsor,,1,,,,,,0
010803 Ciena Corporation,Contracts,On Campus,10,"5,970","9,699","2,811","4,196","9,994","32,670"
010803 Ciena Corporation,Total by Primary Sponsor,,10,"5,970","9,699","2,811","4,196","9,994","32,670"
"010820 Ferrovial Servicios, S.A.",Contracts,On Campus,5,"2,532",152,55,,"1,418","4,157"
"010820 Ferrovial Servicios, S.A.",Total by Primary Sponsor,,5,"2,532",152,55,,"1,418","4,157"
010840 New York Stem Cell Foundation,Grants,On Campus,9,"14,801","10,013","3,441","299,001",0,"327,257"
010840 New York Stem Cell Foundation,Total by Primary Sponsor,,9,"14,801","10,013","3,441","299,001",0,"327,257"
010851 Deloitte Services LP,Contracts,On Campus,4,"1,316",,,"5,893","2,021","9,230"
010851 Deloitte Services LP,Total by Primary Sponsor,,4,"1,316",,,"5,893","2,021","9,230"
"010876 Brain and Behavior Research
Foundation",Grants,On Campus,5,,"3,274","1,195","16,403",0,"20,872"
"010876 Brain and Behavior Research
Foundation",Total by Primary Sponsor,,5,,"3,274","1,195","16,403",0,"20,872"
"010888 Superconducting Systems, Inc.",Contracts,On Campus,7,,"13,683","4,994",63,"9,578","28,319"
"010888 Superconducting Systems, Inc.",Total by Primary Sponsor,,7,,"13,683","4,994",63,"9,578","28,319"
010889 Ionetix Corporation,Contracts,On Campus,5,,0,0,"5,984","3,292","9,276"
010889 Ionetix Corporation,Total by Primary Sponsor,,5,,0,0,"5,984","3,292","9,276"
"010898 Maxim Integrated Products, Inc.",Contracts,On Campus,1,,,,,,0
"010898 Maxim Integrated Products, Inc.",Grants,On Campus,30,"44,819","75,033","26,585","88,218","94,459","329,112"
"010898 Maxim Integrated Products, Inc.",Total by Primary Sponsor,,31,"44,819","75,033","26,585","88,218","94,459","329,112"
010899 Shire Pharmaceutical Dev. Ltd.,Grants,On Campus,7,,"53,570","15,774","36,514","59,280","165,137"
010899 Shire Pharmaceutical Dev. Ltd.,Total by Primary Sponsor,,7,,"53,570","15,774","36,514","59,280","165,137"
"010900 The Institution of Engineering and
Technology",Grants,On Campus,10,"25,758","6,622","2,417","39,439",0,"74,236"
"010900 The Institution of Engineering and
Technology",Total by Primary Sponsor,,10,"25,758","6,622","2,417","39,439",0,"74,236"
010901 China Oilfield Services Ltd.,Contracts,On Campus,9,0,"-11,435",-972,0,"-6,948","-19,354"
010901 China Oilfield Services Ltd.,Total by Primary Sponsor,,9,0,"-11,435",-972,0,"-6,948","-19,354"
010908 Susan Thompson Buffett Foundation,Grants,On Campus,15,"59,000","206,138","60,883","112,104","107,340","545,464"
010908 Susan Thompson Buffett Foundation,Total by Primary Sponsor,,15,"59,000","206,138","60,883","112,104","107,340","545,464"
010935 IBC Advanced Alloys Corporation,Contracts,On Campus,8,"4,050","4,740","1,293","3,219","7,516","20,818"
010935 IBC Advanced Alloys Corporation,Total by Primary Sponsor,,8,"4,050","4,740","1,293","3,219","7,516","20,818"
010940 Saudi Basic Industries Corporation,Contracts,On Campus,16,"33,891","46,360","15,495","71,718","70,727","238,191"
010940 Saudi Basic Industries Corporation,Total by Primary Sponsor,,16,"33,891","46,360","15,495","71,718","70,727","238,191"
010973 Open Society Foundations,Grants,On Campus,6,"27,327","9,000","3,285","180,814","6,645","227,070"
010973 Open Society Foundations,Total by Primary Sponsor,,6,"27,327","9,000","3,285","180,814","6,645","227,070"
010979 Jain Foundation,Grants,On Campus,5,,"57,557","21,008","4,689","8,325","91,579"
010979 Jain Foundation,Total by Primary Sponsor,,5,,"57,557","21,008","4,689","8,325","91,579"
"010986 Kibur Medical, Inc.",Contracts,On Campus,8,,"54,388","19,852","76,196","84,244","234,680"
"010986 Kibur Medical, Inc.",Total by Primary Sponsor,,8,,"54,388","19,852","76,196","84,244","234,680"
010991 Inmarsat plc,Contracts,On Campus,10,"39,399","2,622",734,"28,054","24,615","95,425"
010991 Inmarsat plc,Total by Primary Sponsor,,10,"39,399","2,622",734,"28,054","24,615","95,425"
"011024 Magna Graecia University of
Catanzaro",Contracts,On Campus,5,,0,0,"24,322","13,398","37,720"
"011024 Magna Graecia University of
Catanzaro",Total by Primary Sponsor,,5,,0,0,"24,322","13,398","37,720"
011029 Pohang University of Science and Technology,Contracts,On Campus,8,,"7,462","1,879","1,284","5,367","15,992"
011029 Pohang University of Science and Technology,Total by Primary Sponsor,,8,,"7,462","1,879","1,284","5,367","15,992"
011034 Tiffany & Company,Contracts,On Campus,28,0,-514,-187,"-1,493",-393,"-2,586"
011034 Tiffany & Company,Total by Primary Sponsor,,28,0,-514,-187,"-1,493",-393,"-2,586"
011036 AAA Foundation for Traffic Safety,Grants,On Campus,8,,"128,765","46,999","6,423","96,781","278,968"
011036 AAA Foundation for Traffic Safety,Total by Primary Sponsor,,8,,"128,765","46,999","6,423","96,781","278,968"
"011049 Fibrocell Science, Inc.",Contracts,On Campus,9,"38,875","121,866","42,830","178,826","197,981","580,378"
"011049 Fibrocell Science, Inc.",Total by Primary Sponsor,,9,"38,875","121,866","42,830","178,826","197,981","580,378"
011056 BASF SE,Contracts,On Campus,17,"8,099","100,395","36,157","53,094","107,902","305,647"
011056 BASF SE,Total by Primary Sponsor,,17,"8,099","100,395","36,157","53,094","107,902","305,647"
"011060 Merck, Sharpe and Dohme Corp",Contracts,On Campus,5,,"16,412","5,990","8,431","17,267","48,100"
"011060 Merck, Sharpe and Dohme Corp",Total by Primary Sponsor,,5,,"16,412","5,990","8,431","17,267","48,100"
"011073 Dimension Technology Solutions, Inc",Contracts,On Campus,6,0,32,12,411,226,681
"011073 Dimension Technology Solutions, Inc",Total by Primary Sponsor,,6,0,32,12,411,226,681
011077 Terrativa,Contracts,On Campus,17,,"239,493","78,066","176,003","220,998","714,560"
011077 Terrativa,Total by Primary Sponsor,,17,,"239,493","78,066","176,003","220,998","714,560"
011079 Reliance Industries Limited,Contracts,On Campus,4,,"5,311","1,487",,"3,807","10,605"
011079 Reliance Industries Limited,Total by Primary Sponsor,,4,,"5,311","1,487",,"3,807","10,605"
"011083 Robert A and Renee E Belfer Family
Foundation",Grants,On Campus,5,,"73,770","26,926","326,338","106,758","533,792"
"011083 Robert A and Renee E Belfer Family
Foundation",Total by Primary Sponsor,,5,,"73,770","26,926","326,338","106,758","533,792"
011086 PricewaterhouseCoopers,Contracts,On Campus,6,"11,695","-7,871","-2,755",0,"6,071","7,140"
011086 PricewaterhouseCoopers,Total by Primary Sponsor,,6,"11,695","-7,871","-2,755",0,"6,071","7,140"
011087 EMD Chemicals Inc.,Contracts,On Campus,6,"25,894","2,284",834,"30,767","21,677","81,456"
011087 EMD Chemicals Inc.,Total by Primary Sponsor,,6,"25,894","2,284",834,"30,767","21,677","81,456"
011100 Henkel Corporation,Contracts,On Campus,5,"25,415",0,,"18,127","14,294","57,836"
011100 Henkel Corporation,Total by Primary Sponsor,,5,"25,415",0,,"18,127","14,294","57,836"
011108 OCP Group,Contracts,On Campus,31,"89,775","45,640","16,191","138,026","131,947","421,579"
011108 OCP Group,Total by Primary Sponsor,,31,"89,775","45,640","16,191","138,026","131,947","421,579"
011110 Agence Francaise de Developpemen,Contracts,On Campus,10,"10,690","43,027","14,634","9,722","35,664","113,737"
